Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,,,,,,,,,,,,,,,,,,
TC_HomePage_01,TS_HomePage_01,Browser should be opened.,To validate that when website url is entered in the browser it should opens the website.,"1.Enter the URL for the website
                         ",1. https://www.magicbricks.com/,It should open the Home page of the website.,,,,,,,,,,,,,,,,,,
TC_HomePage_02,TS_HomePage_01,Magic Bricks website should be opened.,To validate that website is displayed correctly in all the browsers,"1. Visit different pages and features of the website
",1. https://www.magicbricks.com/,It should be able to display the content correctly in all kinds of browser.,,,,,,,,,,,,,,,,,,
TC_Homepage_03,TS_HomePage_01,Different pages and features of the websites are accessible.,To validate that user is able to perform the tasks on website in all the browsers.,"1. Open another Browser
2. Enter the URL for the website
3. Visit different pages and features of the website
4. Follow above steps for all kinds of browsers.",1. https://www.magicbricks.com/,User should be able to perform the tasks on all kinds of browser.,,,,,,,,,,,,,,,,,,
TC_Sell_01,TS_Sell_01,Magic Bricks website should be opened.," To Validate that the user is able to view the ""Ad Packages"" section in the ""Sell Section"" under ""For Agent and Builders""","1. Hover over ""Sell module""",,"User should be able to see ""Ad Packages"" section in the ""Sell Section"" under ""For Agent and Builders"".",,,,,,,,,,,,,,,,,,
TC_AdPackages_01,TS_AdPackages_01,Sell module drop down should be opened.,"To Validate that the user is able to navigate to Ad packages after clicking on ""Ad Packages"" option."," Click on the ""Ad packages"" in the ""sell module"".",,"User should be able to navigate to Ad Packages after clicking on ""Ad Packages"" Option.",,,,,,,,,,,,,,,,,,
TC_AdPackages_02,TS_AdPackages_01,Ad package website is opened.,To validate that the user is able to view all the contents in ad Packages section.,"Scroll down the ""ad package"" website.",,User Should be able to view all the contents in ad Pacakges section.,,,,,,,,,,,,,,,,,,
TC_AdPackages_03,TS_AdPackages_01,Ad package website is opened.,"To validate on clicking individual , user is able to click the rent or sell option.","Click on ""Individual"".",,User Should be able to view the rent or sell option on clicking the Individual.,,,,,,,,,,,,,,,,,,
TC_AdPackages_04,TS_AdPackages_01,Ad package website is opened.,To validate on clicking the sell user is able to choose the property as Residential or Commercial .,"Click on ""sell"".",,User Should be able to choose the property as Residential or Commercial.,,,,,,,,,,,,,,,,,,
TC_AdPackages_05,TS_AdPackages_01,Ad package website is opened.,"To validate on clicking the rent user is able to chose the property as Residential,Commercial or For PG/Flatmate.","Click on ""Rent"".",,"User Should be able to choose the property as Residential, Commercial or For PG/Flatmate.",,,,,,,,,,,,,,,,,,
TC_AdPackages_06,TS_AdPackages_01,Ad package website is opened.,To Validate on clicking the show packages for individual it should be navigated to packages for individual only.," Click on ""Show Packages"".",,User Should be navigated to Packages for individual only.,,,,,,,,,,,,,,,,,,
TC_AdPackages_07,TS_AdPackages_01,"
1.Packages for individual is opened.
2. Sell Module drop down is visible","To validate on clicking Agent, user is able to choose the property as Residential,Commercial or PG/Flatmmate","1. Hover over ""sell module""
2. Click on ""ad Package""
3. Click on ""Agent"".",,"User Should be able to Choose the property as Residential,Commercial or PG/Flatmate",,,,,,,,,,,,,,,,,,
TC_AdPackages_08,TS_AdPackages_01,Ad package website is opened.,To Validate on clicking the show packages for agent it should be navigated to packages for agent only.,"1. Click on ""Residential"",""Commercial"" or ""PG/Flatmate""
2. Click on ""show Packages"".",,"
User should be able to navigated to packages for Agent only.",,,,,,,,,,,,,,,,,,
TC_AdPackages_09,TS_AdPackages_01,Packages for Agent is opened.,"To validate on clicking Builder, User is able to choose the property as Residential or commercial.","1. Hover over the ""sell module""
2. Click on ""ad Package""
3. Click on ""Builder"".",,User should be able to choose the property as Residential or commercial only.,,,,,,,,,,,,,,,,,,
TC_AdPackages_10,TS_AdPackages_01,Ad package website is opened.,To Validate on clicking the show packages for builder it should be navigated to packages for builder only.,"1. Click on ""Residential or Commercial"".
2. Click on ""show Packages"".",,User should be able to navigated to packages for Builder only.,,,,,,,,,,,,,,,,,,
TC_RequestACallBack_01,TS_RequestACallBack_01,Packages for Builder is opened.,To validate if user is able to find option for request a callback.,"1. Hover over the ""sell module""
2. Click on ""ad Package""",,User Should be able to find the option for request a callback.,,,,,,,,,,,,,,,,,,
TC_RequestACallBack_02,TS_RequestACallBack_01,"1.Ad package website is opened.
2. Request a call back form is accessible",To validate if user is able to enter  all valid details,"1. Enter your name
2. Enter your mobile number
3. Enter your email id
4. Enter your City.
5. Enter your query

","1. Darshana
2. +91 7354645637
3. rucha123@gmail.com
4. Nagpur
5. enter your query.

",User should be able to enter all valid details.,,,,,,,,,,,,,,,,,,
TC_RequestACallBack_03,TS_RequestACallBack_01,Ad package website is opened.,To validate user should be able to click the checkbox and it should be checked for agreeing terms and conditions.,"Click on the ""checkbox"".",,User should be able to click on the checkbox and it is checked for agreeing terms and conditions.,,,,,,,,,,,,,,,,,,
TC_RequestACallBack_04,TS_RequestACallBack_01,Ad package website is opened.,"To validate on clicking ""T&C"", ""Privacy policy"" or ""Cookie policy"" user should be redirected to the Magic Bricks terms and conditions","Click on ""T&C"", ""Privacy policy"" or ""Cookie policy""",,User should be redirected to the Magic Bricks terms and conditions.,,,,,,,,,,,,,,,,,,
